-------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------

								Lower Bound					Upper Bound					Binary Search
						---------------------------------------------		---------------------------------------------		---------------------------------------------
Problem		n	m	c*		c	%dev	BD	SX	CPU(time)		c	%dev	BD	SX	CPU(time)		c	%dev	BD	SX	CPU(time)
			10	1775		1781	0.338028	3784	1742.54	0.001129		1792	0.957747	5686	2181.17	0.453451		1792	0.957747	3894	1815.26	0.016932

WARNECKE.IN2   	58	3	516		533	3.29457	51	45.3982	0.003204		533	3.29457	584	519.875	0.274466		533	3.29457	51	45.3982	0.141906
			4	387		393	1.55039	24	14.9666	0.001256		391	1.03359	429	360.834	0.191349		401	3.61757	56	37.229	0.016134
			5	310		322	3.87097	62	60.0167	0.002926		327	5.48387	414	316.361	0.127421		325	4.83871	77	46.3573	0.030613
			6	258		270	4.65116	72	44.9444	0.003156		272	5.42636	356	261.385	0.151747		273	5.81395	90	53.8702	0.0187
			7	222		225	1.35135	27	15.6525	0.000994		226	1.8018	260	212.217	0.126066		231	4.05405	69	36.2077	0.021684
			8	194		200	3.09278	52	22.4499	0.021444		201	3.60825	261	188.947	0.093671		201	3.60825	60	27.8209	0.038182
			9	172		180	4.65116	72	35.5528	0.015584		182	5.81395	272	172.743	0.117006		182	5.81395	90	40.2492	0.027563
			10	155		163	5.16129	82	52.5928	0.002198		163	5.16129	245	153.646	0.055119		163	5.16129	82	47.4763	0.049789
			11	142		149	4.92958	91	44.8888	0.002278		152	7.04225	276	152.02	0.091497		152	7.04225	124	56.6745	0.005829
			12	130		139	6.92308	120	49.1732	0.027227		141	8.46154	307	126.779	0.066586		146	12.3077	204	106.527	0.004133
			13	120		127	5.83333	103	38.1182	0.003093		126	5	315	136.451	0.138389		129	7.5	129	41.7013	0.007721
			14	111		120	8.10811	132	54.0925	0.013845		120	8.10811	351	133.944	0.058266		120	8.10811	132	51.1859	0.020314
			15	104		112	7.69231	132	46.1952	0.002271		114	9.61539	298	105.385	0.055161		112	7.69231	244	92.5635	0.001887
			16	98		103	5.10204	100	36.7423	0.001827		111	13.2653	361	113.925	0.082136		109	11.2245	196	82.6196	0.002289
			17	92		100	8.69565	152	66.4379	0.002389		98	6.52174	238	79.95	0.053134		101	9.78261	169	62.5859	0.017203
			18	87		98	12.6437	216	93.3167	0.003117		99	13.7931	333	115.512	0.051809		98	12.6437	216	92.6607	0.001944
			19	84		94	11.9048	238	91.8477	0.013921		95	13.0952	367	122.731	0.038458		92	9.52381	200	79.0822	0.00306
			20	79		90	13.9241	252	94.8051	0.003435		91	15.1899	363	110.657	0.035123		90	13.9241	162	74.2967	0.001716
			21	76		85	11.8421	237	91.9728	0.039261		87	14.4737	366	117.09	0.042273		87	14.4737	366	113.402	0.002699
			22	73		82	12.3288	256	81.2281	0.003273		83	13.6986	376	110.018	0.032135		82	12.3288	174	69.8284	0.002043
			23	69		77	11.5942	223	71.1548	0.003403		80	15.942	427	110.132	0.033841		81	17.3913	315	93.5147	0.024127
			24	66		75	13.6364	252	67.7791	0.003481		75	13.6364	349	89.7162	0.058153		76	15.1515	276	78.4857	0.001817
			25	64		73	14.0625	277	77.2075	0.003507		72	12.5	390	101.804	0.043851		72	12.5	252	71.0915	0.002469
			26	64		72	12.5	324	80.7589	0.00805		72	12.5	418	100.09	0.034119		72	12.5	252	69.4982	0.001694
			27	60		67	11.6667	261	74.2496	0.029205		70	16.6667	434	106.301	0.025053		69	15	246	74.8999	0.001659
			28	59		68	15.2542	288	85.3464	0.019809		66	11.8644	388	90.1221	0.02552		67	13.5593	261	64.9846	0.001676
			29	56		64	14.2857	308	82.8251	0.021607		66	17.8571	454	102.411	0.02938		64	14.2857	372	90.7193	0.001932

TONGE70.IN2   	70	3	1170		1178	0.683761	24	17.2047	0.002225		1187	1.45299	1281	1134.28	0.776217		1201	2.64957	93	71.2811	0.34923
			4	878		888	1.13895	42	31.305	0.031792		912	3.87244	1050	874.812	0.513948		910	3.64465	130	95.4882	0.125364
			5	702		708	0.854701	30	17.9444	0.014787		713	1.56695	811	666.245	0.450447		759	8.11966	285	235.786	0.084487
			6	585		593	1.36752	48	29.3258	0.004043		605	3.4188	768	590.098	0.391389		603	3.07692	108	82.2679	0.108
			7	502		509	1.39442	53	29.6816	0.005239		525	4.58167	690	500.991	0.297056		530	5.57769	200	176.46	0.102057
			8	439		449	2.2779	82	35.6371	0.015556		462	5.23918	691	458.671	0.273342		465	5.92255	210	111.283	0.049141
			9	391		397	1.53453	63	23.5584	0.00221		406	3.83632	652	397.162	0.266082		413	5.6266	207	83.66	0.068695
			10	352		361	2.55682	100	40.939	0.002953		368	4.54545	538	359.338	0.235077		370	5.11364	560	345.112	0.051017
			11	320		334	4.375	164	86.1162	0.006599		354	10.625	753	373.937	0.215193		352	10	362	180.582	0.007834
			12	294		310	5.44218	210	123.701	0.007521		311	5.78231	533	286.634	0.208929		319	8.5034	318	198.363	0.065013
			13	271		287	5.90406	221	79.177	0.008288		288	6.27306	565	256.135	0.141271		292	7.74908	286	106.921	0.044643
			14	251		263	4.78088	172	58.4123	0.055646		267	6.3745	635	265.317	0.216424		281	11.9522	424	215.931	0.035969
			15	235		253	7.65957	285	139.409	0.00609		263	11.9149	716	306.398	0.154643		265	12.766	200	78.0897	0.003206
			16	221		228	3.16742	138	49.2747	0.003215		244	10.4072	681	240.929	0.159969		246	11.3122	426	231.084	0.026197
			17	208		221	6.25	247	78.9873	0.004756		235	12.9808	720	274.827	0.137587		231	11.0577	417	133.57	0.003369
			18	196		213	8.67347	324	128.086	0.005762		219	11.7347	904	283.214	0.14612		222	13.2653	486	212.212	0.035166
			19	186		206	10.7527	404	185.984	0.017529		209	12.3656	670	224.156	0.126473		214	15.0538	342	112.978	0.002729
			20	177		194	9.60452	370	151.776	0.060716		201	13.5593	798	227.359	0.140832		207	16.9492	630	192.567	0.002725
			21	170		184	8.23529	354	120.599	0.043091		194	14.1176	758	238.071	0.105337		191	12.3529	692	185.575	0.02295
			22	162		181	11.7284	291	88.4364	0.022857		186	14.8148	768	237.882	0.113511		188	16.0494	438	138.275	0.002888
			23	156		168	7.69231	354	87.4871	0.004337		177	13.4615	779	219.42	0.118228		174	11.5385	666	185.623	0.00363
			24	156		159	1.92308	306	126.965	0.001367		167	7.05128	708	194.587	0.121837		173	10.8974	469	122.601	0.002237
			25	156		158	1.28205	440	122.368	0.000963		158	1.28205	685	191.34	0.097302		156	0	546	167.266	0.004172

WEE-MAG.IN2   	75	3	500		502	0.4	7	4.58258	0.001111		505	1	521	495.232	0.431997		510	2	31	20.1246	0.216667
			4	375		379	1.06667	17	12.1244	0.001867		383	2.13333	416	362.21	0.333373		383	2.13333	33	23.4307	0.06756
			5	300		305	1.66667	26	14.0712	0.00265		306	2	337	285.564	0.246669		307	2.33333	36	20.2978	0.050096
			6	250		255	2	31	18.4662	0.00277		255	2	286	234.474	0.233851		257	2.8	43	20.664	0.061797
			7	215		217	0.930233	20	13.7113	0.001262		220	2.32558	261	201.129	0.177831		221	2.7907	48	26.0768	0.05277
			8	188		193	2.65957	45	21.2838	0.01782		195	3.7234	256	174.213	0.169647		196	4.25532	69	39.5095	0.013277
			9	167		171	2.39521	40	20.3961	0.002258		174	4.19162	241	150.934	0.142094		175	4.79042	251	155.193	0.045526
			10	150		157	4.66667	71	27.55	0.018581		157	4.66667	272	142.773	0.096216		158	5.33333	81	29.4109	0.021275
			11	137		141	2.91971	52	20.199	0.039055		141	2.91971	193	122.568	0.152698		144	5.10949	85	42.0357	0.023718
			12	125		133	6.4	97	34.3657	0.003316		136	8.8	269	123.422	0.115075		133	6.4	97	48.734	0.019955
			13	116		121	4.31034	74	24.779	0.022749		122	5.17241	209	104.809	0.097345		122	5.17241	87	30.545	0.038828
			14	108		114	5.55556	97	34.5977	0.020001		114	5.55556	211	100.643	0.082796		115	6.48148	226	99.3982	0.005059
			15	100		107	7	106	34.6699	0.003302		110	10	261	101.73	0.091103		110	10	151	55.0364	0.004137
			16	94		99	5.31915	85	28.9655	0.00376		101	7.44681	218	89.5656	0.065582		100	6.38298	101	30.348	0.038081
			17	89		93	4.49438	82	29.8664	0.002126		96	7.86517	229	84.9529	0.077457		95	6.74157	116	40.6694	0.002663
			18	84		91	8.33333	139	44.3734	0.003101		91	8.33333	230	80.9197	0.088756		93	10.7143	175	79.5299	0.002361
			19	84		89	5.95238	192	62.1611	0.026764		90	7.14286	301	92.0598	0.067036		90	7.14286	211	79.6304	0.024029
			20	77		82	6.49351	141	39.7869	0.003709		82	6.49351	248	74.5117	0.090648		84	9.09091	181	49.0408	0.004337
			21	72		78	8.33333	139	36.5103	0.020214		79	9.72222	239	80.8764	0.067529		78	8.33333	139	40.6325	0.005015
			22	69		73	5.7971	107	31.3209	0.002128		73	5.7971	224	69.1809	0.05668		74	7.24638	129	39.5095	0.045659
			23	66		71	7.57576	134	44.5197	0.002654		71	7.57576	205	65.5362	0.086968		71	7.57576	205	54.1941	0.002114
			24	66		69	4.54545	157	46.422	0.010111		70	6.06061	251	70.7319	0.066179		70	6.06061	181	63	0.002446
			25	66		68	3.0303	201	62.0564	0.024662		68	3.0303	317	79.9562	0.068162		69	4.54545	226	70.3847	0.003603
			26	65		67	3.07692	243	61.7819	0.004601		68	4.61538	337	82.4803	0.060346		68	4.61538	269	65.5973	0.002193
			27	63		66	4.7619	283	73.2462	0.016463		66	4.7619	395	89.3364	0.057822		66	4.7619	283	67.0895	0.00278
			28	63		65	3.1746	321	70.5479	0.027175		65	3.1746	408	88.7468	0.054881		65	3.1746	321	71.4353	0.020034
			29	63		65	3.1746	321	72.2703	0.017251		64	1.5873	421	88.6961	0.044215		62	-1.5873	361	72.0208	0.002532
			30	56		57	1.78571	211	46.4866	0.003425		62	10.7143	423	85.0353	0.052569		60	7.14286	361	74.9867	0.002883

ARC83.IN2   	83	3	25236		25309	0.289269	220	167.027	0.034261		25554	1.2601	26509	22179.3	21.4588		25634	1.57711	1195	831.45	11.163
			4	18927		19063	0.71855	545	505.942	0.130785		19272	1.82279	20653	15981.7	15.3697		19291	1.92318	1457	874.423	3.77856
			5	15142		15200	0.383041	293	151.463	0.055173		15667	3.46718	18295	12609.5	12.4126		15668	3.47378	2633	1384.49	2.81192
