-------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------

								Lower Bound					Upper Bound					Binary Search
						---------------------------------------------		---------------------------------------------		---------------------------------------------
Problem		n	m	c*		c	%dev	BD	SX	CPU(time)		c	%dev	BD	SX	CPU(time)		c	%dev	BD	SX	CPU(time)
WARNECKE.IN2   	58	3	516		533	3.29457	51	41.4849	0.003255		533	3.29457	584	519.875	0.100409		533	3.29457	51	41.4849	0.020723
			4	387		390	0.775194	12	7.34847	0.000714		390	0.775194	402	375.329	0.069491		390	0.775194	12	7.34847	0.017964
			5	310		323	4.19355	67	61.1474	0.002747		323	4.19355	390	312.099	0.052007		323	4.19355	67	61.1474	0.012409
			6	258		271	5.03876	78	60.2661	0.002897		271	5.03876	349	260.597	0.04477		271	5.03876	78	60.2661	0.01104
			7	222		226	1.8018	34	24.1661	0.001144		226	1.8018	260	212.193	0.043742		226	1.8018	34	24.1661	0.016908
			8	194		196	1.03093	20	9.27362	0.000826		196	1.03093	216	181.549	0.053523		196	1.03093	20	9.27362	0.012041
			9	172		178	3.48837	54	25.219	0.00255		178	3.48837	232	165.481	0.040242		178	3.48837	54	25.219	0.00894
			10	155		163	5.16129	82	45.0999	0.002168		163	5.16129	245	155.535	0.036237		163	5.16129	82	45.0999	0.008414
			11	142		151	6.33803	113	56.9122	0.002672		151	6.33803	286	134.796	0.042244		151	6.33803	113	56.9122	0.00627
			12	130		138	6.15385	108	46.7547	0.002137		138	6.15385	268	121.334	0.028743		138	6.15385	108	46.7547	0.006003
			13	120		125	4.16667	77	29	0.00175		125	4.16667	257	106.85	0.024239		125	4.16667	77	29	0.00607
			14	111		116	4.5045	76	29.0861	0.001685		119	7.20721	259	111.207	0.022353		119	7.20721	118	66.8581	0.005465
			15	104		111	6.73077	117	50.9411	0.002068		111	6.73077	250	100.23	0.021192		111	6.73077	117	50.9411	0.00493
			16	98		103	5.10204	100	34.3802	0.002003		103	5.10204	225	87.6299	0.020906		103	5.10204	100	34.3802	0.004655
			17	92		99	7.6087	135	62.8411	0.002228		99	7.6087	234	96.8917	0.018921		99	7.6087	135	62.8411	0.004366
			18	87		95	9.1954	162	83.9405	0.002495		95	9.1954	257	96.3172	0.018011		95	9.1954	162	83.9405	0.002937
			19	84		90	7.14286	162	79.4229	0.002884		90	7.14286	252	91.7715	0.017227		90	7.14286	162	79.4229	0.003344
			20	79		85	7.59494	152	49.8799	0.002388		85	7.59494	237	84.6936	0.01669		85	7.59494	152	49.8799	0.003484
			21	76		80	5.26316	132	61.384	0.002141		82	7.89474	271	100.245	0.016532		82	7.89474	174	69.4118	0.005348
			22	73		77	5.47945	146	44.8107	0.002415		77	5.47945	245	80.7527	0.017122		77	5.47945	146	44.8107	0.003046
			23	69		76	10.1449	200	68.1616	0.003995		76	10.1449	298	97.5295	0.017388		76	10.1449	200	68.1616	0.001945
			24	66		74	12.1212	228	67.5426	0.003083		74	12.1212	324	88.8482	0.017825		74	12.1212	228	67.5426	0.002594
			25	64		72	12.5	252	72.4707	0.003846		72	12.5	346	97.4782	0.014985		72	12.5	252	72.4707	0.002601
			26	64		70	9.375	272	81.9146	0.003503		70	9.375	364	97.0567	0.015181		70	9.375	272	81.9146	0.002479
			27	60		67	11.6667	261	73.1915	0.003813		67	11.6667	350	86.3944	0.014217		67	11.6667	261	73.1915	0.002267
			28	59		63	6.77966	216	50.5569	0.002636		63	6.77966	301	65.8255	0.017056		63	6.77966	216	50.5569	0.002896
			29	56		59	5.35714	163	37.054	0.003203		59	5.35714	321	87.367	0.014587		59	5.35714	163	37.054	0.002764

TONGE70.IN2   	70	3	1170		1178	0.683761	24	20.3961	0.002226		1178	0.683761	1202	1136	0.271666		1178	0.683761	24	20.3961	0.163473
			4	878		882	0.455581	18	17.0294	0.003401		882	0.455581	900	839.955	0.239405		882	0.455581	18	17.0294	0.062536
			5	702		706	0.569801	20	11.5758	0.001446		706	0.569801	726	691.26	0.201439		706	0.569801	20	11.5758	0.053648
			6	585		594	1.53846	54	27.7128	0.00287		594	1.53846	648	563.592	0.167949		594	1.53846	54	27.7128	0.042456
			7	502		505	0.59761	25	12.6095	0.001491		505	0.59761	530	473.605	0.144673		505	0.59761	25	12.6095	0.047182
			8	439		445	1.36674	50	21.4476	0.002772		445	1.36674	510	428.28	0.138751		445	1.36674	50	21.4476	0.032539
			9	391		396	1.27877	54	29.7321	0.002115		396	1.27877	450	356.014	0.119571		396	1.27877	54	29.7321	0.029025
			10	352		357	1.42045	60	23.6643	0.002253		357	1.42045	417	343.16	0.186497		357	1.42045	60	23.6643	0.037573
