-------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------

								Lower Bound					Upper Bound					Binary Search
						---------------------------------------------		---------------------------------------------		---------------------------------------------
Problem		n	m	c*		c	%dev	BD	SX	CPU(time)		c	%dev	BD	SX	CPU(time)		c	%dev	BD	SX	CPU(time)
WARNECKE.IN2   	58	3	516		533	3.29457	51	41.4849	0.004934		533	3.29457	584	519.875	0.153988		533	3.29457	51	41.4849	0.036693
			4	387		390	0.775194	12	7.34847	0.00142		390	0.775194	402	375.329	0.122166		390	0.775194	12	7.34847	0.028389
			5	310		323	4.19355	67	61.1474	0.004599		323	4.19355	390	312.099	0.092158		323	4.19355	67	61.1474	0.026113
			6	258		271	5.03876	78	60.2661	0.003911		271	5.03876	349	260.597	0.082136		271	5.03876	78	60.2661	0.02011
			7	222		226	1.8018	34	24.1661	0.001519		226	1.8018	260	212.193	0.073625		226	1.8018	34	24.1661	0.018788
			8	194		196	1.03093	20	9.27362	0.001364		196	1.03093	216	181.549	0.067435		196	1.03093	20	9.27362	0.015309
			9	172		178	3.48837	54	25.219	0.002423		178	3.48837	232	165.481	0.060083		178	3.48837	54	25.219	0.017661
			10	155		163	5.16129	82	45.0999	0.003794		163	5.16129	245	155.535	0.052545		163	5.16129	82	45.0999	0.011972
			11	142		151	6.33803	113	56.9122	0.005399		151	6.33803	286	134.796	0.056398		151	6.33803	113	56.9122	0.015048
			12	130		138	6.15385	108	46.7547	0.004715		138	6.15385	268	121.334	0.048027		138	6.15385	108	46.7547	0.009029
			13	120		125	4.16667	77	29	0.002863		125	4.16667	257	106.85	0.045127		125	4.16667	77	29	0.012162
			14	111		116	4.5045	76	29.0861	0.002425		119	7.20721	259	111.207	0.03819		119	7.20721	118	66.8581	0.01351
			15	104		111	6.73077	117	50.9411	0.0028		111	6.73077	250	100.23	0.039237		111	6.73077	117	50.9411	0.010787
			16	98		103	5.10204	100	34.3802	0.002911		103	5.10204	225	87.6299	0.046928		103	5.10204	100	34.3802	0.007935
			17	92		99	7.6087	135	62.8411	0.002939		99	7.6087	234	96.8917	0.036071		99	7.6087	135	62.8411	0.008136
			18	87		95	9.1954	162	83.9405	0.00557		95	9.1954	257	96.3172	0.033251		95	9.1954	162	83.9405	0.004889
			19	84		90	7.14286	162	79.4229	0.003954		90	7.14286	252	91.7715	0.028532		90	7.14286	162	79.4229	0.006878
			20	79		85	7.59494	152	49.8799	0.004524		85	7.59494	237	84.6936	0.033477		85	7.59494	152	49.8799	0.006362
			21	76		80	5.26316	132	61.384	0.006008		82	7.89474	271	100.245	0.028439		82	7.89474	174	69.4118	0.00441
			22	73		77	5.47945	146	44.8107	0.004021		77	5.47945	245	80.7527	0.026707		77	5.47945	146	44.8107	0.003575
			23	69		76	10.1449	200	68.1616	0.005923		76	10.1449	298	97.5295	0.032957		76	10.1449	200	68.1616	0.005139
			24	66		74	12.1212	228	67.5426	0.006473		74	12.1212	324	88.8482	0.025552		74	12.1212	228	67.5426	0.004392
			25	64		72	12.5	252	72.4707	0.004955		72	12.5	346	97.4782	0.026264		72	12.5	252	72.4707	0.004687
			26	64		70	9.375	272	81.9146	0.006198		70	9.375	364	97.0567	0.026084		70	9.375	272	81.9146	0.002626
			27	60		67	11.6667	261	73.1915	0.006106		67	11.6667	350	86.3944	0.022772		67	11.6667	261	73.1915	0.003743
			28	59		63	6.77966	216	50.5569	0.004127		63	6.77966	301	65.8255	0.025332		63	6.77966	216	50.5569	0.004418
			29	56		59	5.35714	163	37.054	0.004969		59	5.35714	321	87.367	0.022497		59	5.35714	163	37.054	0.006145

TONGE70.IN2   	70	3	1170		1178	0.683761	24	20.3961	0.003836		1178	0.683761	1202	1136	0.444028		1178	0.683761	24	20.3961	0.246599
			4	878		882	0.455581	18	17.0294	0.002998		882	0.455581	900	839.955	0.375104		882	0.455581	18	17.0294	0.123371
			5	702		706	0.569801	20	11.5758	0.002561		706	0.569801	726	691.26	0.284945		706	0.569801	20	11.5758	0.077153
			6	585		594	1.53846	54	27.7128	0.004334		594	1.53846	648	563.592	0.257273		594	1.53846	54	27.7128	0.065277
