-------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------

								Lower Bound					Upper Bound					Binary Search
						---------------------------------------------		---------------------------------------------		---------------------------------------------
Problem		n	m	c*		c	%dev	BD	SX	CPU(time)		c	%dev	BD	SX	CPU(time)		c	%dev	BD	SX	CPU(time)
			10	1775		1792	0.957747	3894	1663.93	0.002786		1792	0.957747	5686	2318.06	0.227355		1792	0.957747	3894	1663.93	0.008629

WARNECKE.IN2   	58	3	516		533	3.29457	51	40.1622	0.006576		533	3.29457	584	519.771	0.105889		533	3.29457	51	40.1622	0.054025
			4	387		395	2.06718	32	20.5913	0.001576		395	2.06718	427	380.798	0.083935		395	2.06718	32	20.5913	0.019191
			5	310		325	4.83871	77	65.7799	0.003095		325	4.83871	402	314.312	0.084743		325	4.83871	77	65.7799	0.016412
			6	258		269	4.26357	66	42.0951	0.002363		269	4.26357	335	257.901	0.064246		269	4.26357	66	42.0951	0.016671
			7	222		230	3.6036	62	33.4365	0.001883		230	3.6036	292	217.697	0.056418		230	3.6036	62	33.4365	0.012582
			8	194		201	3.60825	60	32.311	0.001675		201	3.60825	261	188.401	0.045612		201	3.60825	60	32.311	0.00822
			9	172		182	5.81395	90	42.3792	0.003027		182	5.81395	287	181.816	0.037112		182	5.81395	90	42.3792	0.012523
			10	155		165	6.45161	102	48.4974	0.002303		165	6.45161	267	156.592	0.039903		165	6.45161	102	48.4974	0.006459
			11	142		152	7.04225	124	53.1601	0.002451		152	7.04225	276	150.725	0.033851		152	7.04225	124	53.1601	0.011485
			12	130		145	11.5385	192	89.9778	0.008436		145	11.5385	352	159.725	0.026213		145	11.5385	192	89.9778	0.002184
			13	120		126	5	90	33.3467	0.008991		126	5	238	105.622	0.0238		126	5	90	33.3467	0.00546
			14	111		119	7.20721	118	46.2817	0.002092		119	7.20721	336	131.697	0.035015		119	7.20721	118	46.2817	0.007531
			15	104		114	9.61539	162	55.5338	0.002468		114	9.61539	298	104.728	0.021419		114	9.61539	162	55.5338	0.002569
			16	98		104	6.12245	116	44.9222	0.001897		104	6.12245	242	90.0333	0.03277		104	6.12245	116	44.9222	0.006177
			17	92		102	10.8696	186	62.3378	0.002933		102	10.8696	310	101.745	0.023171		102	10.8696	186	62.3378	0.001571
			18	87		97	11.4943	198	64.6993	0.002554		97	11.4943	295	102.494	0.021889		97	11.4943	198	64.6993	0.004416
			19	84		94	11.9048	238	93.7337	0.003078		94	11.9048	347	118.191	0.021424		94	11.9048	238	93.7337	0.004034
			20	79		90	13.9241	252	87.4986	0.008291		90	13.9241	342	109.873	0.016751		90	13.9241	252	87.4986	0.002041
			21	76		86	13.1579	258	95.7497	0.009378		86	13.1579	344	108.747	0.016116		86	13.1579	258	95.7497	0.002144
			22	73		85	16.4384	322	105.641	0.004068		85	16.4384	407	118.157	0.016715		85	16.4384	322	105.641	0.001745
			23	69		81	17.3913	315	97.9234	0.003776		81	17.3913	411	116.073	0.014121		81	17.3913	315	97.9234	0.00289
			24	66		75	13.6364	252	73.6342	0.002988		75	13.6364	349	87.4243	0.014454		75	13.6364	252	73.6342	0.011006
			25	64		74	15.625	302	78.3199	0.003505		74	15.625	398	96.9123	0.018089		74	15.625	302	78.3199	0.002153
			26	64		72	12.5	324	82.7164	0.003535		72	12.5	418	102.645	0.017715		72	12.5	324	82.7164	0.001588
			27	60		69	15	315	87.8123	0.003604		69	15	406	101.321	0.022965		69	15	315	87.8123	0.001812
			28	59		67	13.5593	328	86.2902	0.003496		67	13.5593	417	96.1613	0.016733		67	13.5593	328	86.2902	0.001663
			29	56		66	17.8571	366	89.2076	0.003483		66	17.8571	432	103.615	0.012449		64	14.2857	372	93.3702	0.001671

TONGE70.IN2   	70	3	1170		1178	0.683761	24	17.2047	0.001846		1178	0.683761	1202	1135.94	0.335306		1178	0.683761	24	17.2047	0.174693
			4	878		887	1.02506	38	29.7321	0.002646		887	1.02506	969	875.168	0.264053		887	1.02506	38	29.7321	0.064367
			5	702		723	2.99145	105	82.5893	0.006652		723	2.99145	892	714.748	0.204186		723	2.99145	105	82.5893	0.053013
			6	585		601	2.73504	96	47.9375	0.007609		601	2.73504	697	561.643	0.172786		601	2.73504	96	47.9375	0.045508
			7	502		521	3.78486	137	89.9944	0.004984		521	3.78486	717	505.483	0.153446		521	3.78486	137	89.9944	0.037799
			8	439		461	5.01139	178	117.303	0.006692		461	5.01139	639	456.049	0.137917		461	5.01139	178	117.303	0.03419
			9	391		395	1.02302	45	20.7605	0.001449		395	1.02302	440	354.119	0.120873		395	1.02302	45	20.7605	0.024188
			10	352		373	5.96591	220	116.25	0.005958		373	5.96591	657	385.07	0.206351		373	5.96591	220	116.25	0.030678
			11	320		340	6.25	230	100.27	0.006194		340	6.25	629	336.266	0.156246		340	6.25	230	100.27	0.020422
			12	294		313	6.46258	246	105.858	0.005639		313	6.46258	646	257.379	0.118515		313	6.46258	246	105.858	0.023005
			13	271		299	10.3321	377	176.796	0.014044		299	10.3321	784	333.002	0.12331		299	10.3321	377	176.796	0.008102
			14	251		270	7.56972	270	122.898	0.012271		270	7.56972	540	280.948	0.100979		270	7.56972	270	122.898	0.029863
			15	235		265	12.766	465	178.166	0.009309		265	12.766	730	303.589	0.096327		265	12.766	465	178.166	0.004678
			16	221		244	10.4072	394	179.293	0.01443		244	10.4072	725	250.274	0.084175		244	10.4072	394	179.293	0.014148
			17	208		229	10.0962	383	142.51	0.033165		243	16.8269	864	323.394	0.13984		243	16.8269	621	231.592	0.004516
			18	196		222	13.2653	486	202.879	0.012326		222	13.2653	708	253.886	0.089808		222	13.2653	486	202.879	0.003865
			19	186		212	13.9785	518	212.189	0.01158		212	13.9785	748	270.943	0.077537		212	13.9785	518	212.189	0.007074
			20	177		208	17.5141	650	242.273	0.022436		208	17.5141	876	291.342	0.084742		208	17.5141	650	242.273	0.002556
			21	170		205	20.5882	795	256.895	0.039165		205	20.5882	1018	292.024	0.050545		205	20.5882	795	256.895	0.008704
			22	162		191	17.9012	692	192.427	0.01649		191	17.9012	927	271.641	0.064044		191	17.9012	692	192.427	0.00429
			23	156		172	10.2564	446	137.659	0.005379		172	10.2564	705	181.673	0.061775		172	10.2564	446	137.659	0.012319
			24	156		172	10.2564	446	137.659	0.007839		172	10.2564	849	231.821	0.058405		171	9.61539	765	196.66	0.002438
			25	156		159	1.92308	465	136.678	0.001308		159	1.92308	683	216.201	0.066747		159	1.92308	465	136.678	0.01786

WEE-MAG.IN2   	75	3	500		500	0	1	1	0.000476		500	0	526	490.52	0.182379		500	0	1	1	0.116406
			4	375		385	2.66667	41	25.9808	0.004202		385	2.66667	426	361.801	0.133186		385	2.66667	41	25.9808	0.039486
			5	300		310	3.33333	51	26.5895	0.002813		310	3.33333	361	287.202	0.107273		310	3.33333	51	26.5895	0.039708
			6	250		255	2	31	15.7797	0.001831		255	2	286	231.892	0.110776		255	2	31	15.7797	0.034348
			7	215		222	3.25581	55	26.8142	0.002213		222	3.25581	277	200.112	0.081902		222	3.25581	55	26.8142	0.022934
			8	188		196	4.25532	69	30.282	0.002488		196	4.25532	265	175.24	0.070643		196	4.25532	69	30.282	0.023249
			9	167		178	6.58683	103	42.6966	0.009011		178	6.58683	306	175.317	0.086146		178	6.58683	103	42.6966	0.009043
			10	150		159	6	91	38.092	0.003303		159	6	250	141.647	0.169081		159	6	91	38.092	0.0158
			11	137		146	6.56934	107	39.3319	0.005375		146	6.56934	253	129.031	0.058617		146	6.56934	107	39.3319	0.025303
			12	125		134	7.2	109	40.7799	0.007936		134	7.2	243	117.852	0.04427		134	7.2	109	40.7799	0.01489
			13	116		125	7.75862	126	51.6914	0.002996		125	7.75862	251	111.611	0.043026		125	7.75862	126	51.6914	0.011539
			14	108		114	5.55556	97	37.6696	0.003314		114	5.55556	258	104.89	0.032954		114	5.55556	97	37.6696	0.006324
			15	100		108	8	121	40.7063	0.002962		108	8	229	94.4405	0.062798		108	8	121	40.7063	0.005869
			16	94		102	8.51064	133	43.3013	0.002935		102	8.51064	235	90.978	0.035027		102	8.51064	133	43.3013	0.005182
			17	89		94	5.61798	99	36.5103	0.016265		94	5.61798	240	87.0057	0.03667		94	5.61798	99	36.5103	0.00554
			18	84		93	10.7143	175	53.2071	0.003045		93	10.7143	268	88.9944	0.03283		93	10.7143	175	53.2071	0.001728
			19	84		88	4.7619	173	49.99	0.003007		88	4.7619	261	83.1445	0.038466		88	4.7619	173	49.99	0.00462
			20	77		87	12.987	241	80.0687	0.004046		87	12.987	328	90.598	0.030199		87	12.987	241	80.0687	0.002196
			21	72		79	9.72222	160	42.4264	0.002578		79	9.72222	264	84.5577	0.031207		79	9.72222	160	42.4264	0.003598
			22	69		76	10.1449	173	44.5533	0.004761		76	10.1449	249	72.4362	0.040897		76	10.1449	173	44.5533	0.002746
			23	66		72	9.09091	157	48.239	0.007211		72	9.09091	229	69.2026	0.035564		72	9.09091	157	48.239	0.0035
			24	66		70	6.06061	181	61.7171	0.002737		70	6.06061	251	72.1457	0.02004		70	6.06061	181	61.7171	0.003115
			25	66		69	4.54545	226	68.7605	0.003211		69	4.54545	295	78.492	0.040807		69	4.54545	226	68.7605	0.00219
			26	65		68	4.61538	269	74.8131	0.003931		68	4.61538	384	90.1998	0.024542		68	4.61538	269	74.8131	0.001976
			27	63		68	7.93651	269	74.8131	0.007004		68	7.93651	405	92.3742	0.021491		67	6.34921	377	88.0398	0.001884
			28	63		66	4.7619	349	77.6595	0.004529		66	4.7619	415	89.7162	0.026651		65	3.1746	386	85.1352	0.005149
			29	63		65	3.1746	386	85.1352	0.015564		65	3.1746	476	97.0155	0.014711		62	-1.5873	423	84.9294	0.002033
			30	56		64	14.2857	421	83.7556	0.005893		64	14.2857	485	95.0211	0.017488		60	7.14286	361	74.7596	0.001903

ARC83.IN2   	83	3	25236		25494	1.02235	775	548.085	0.099395		25494	1.02235	26269	22120	11.9181		25494	1.02235	775	548.085	6.71872
			4	18927		19263	1.77524	1345	1063.55	0.171344		19263	1.77524	20608	15951	10.6249		19263	1.77524	1345	1063.55	2.91579
			5	15142		15551	2.7011	2048	1198.58	0.303947		15551	2.7011	17599	12234	8.82638		15551	2.7011	2048	1198.58	1.92131
			6	12620		12928	2.44057	1861	1286.33	0.162598		12928	2.44057	14789	9739.94	6.99387		12928	2.44057	1861	1286.33	1.66429
			7	10826		11138	2.88195	2259	1221.45	0.176997		11138	2.88195	13397	8025.26	7.05883		11138	2.88195	2259	1221.45	1.59181
			8	9554		10080	5.50555	4933	2375.98	0.47463		10080	5.50555	15013	7504.09	6.57816		10080	5.50555	4933	2375.98	1.34003
			9	8499		8692	2.27086	2521	1166.28	0.223485		8692	2.27086	11213	6174.55	6.36372		8692	2.27086	2521	1166.28	1.56906
			10	7580		7841	3.44327	2703	1100.11	0.242804		7841	3.44327	10544	5122.9	6.00331		7841	3.44327	2703	1100.11	1.44703
			11	7084		7362	3.92434	5275	2294.56	0.406442		7362	3.92434	12637	5323.58	5.48401		7362	3.92434	5275	2294.56	1.13499
			12	6412		6961	8.56207	7825	3831.75	0.598067		6961	8.56207	14786	5724.46	4.92546		6961	8.56207	7825	3831.75	1.05699
			13	5864		6198	5.69577	4867	1987	0.359662		6198	5.69577	11065	4209.5	4.61136		6198	5.69577	4867	1987	1.13844
			14	5441		5740	5.49531	4653	1573.19	0.37918		5740	5.49531	10393	3747.67	4.85489		5740	5.49531	4653	1573.19	1.05453
			15	5104		5337	4.56505	4348	1436.1	0.229619		5337	4.56505	9685	3096.19	4.03897		5337	4.56505	4348	1436.1	0.899589
			16	4850		5202	7.25773	7525	2858.82	0.423223		5202	7.25773	12727	3908.96	3.61025		5202	7.25773	7525	2858.82	0.429457
			17	4516		4991	10.5182	9140	2722.4	0.512786		4991	10.5182	14131	4767.07	3.35384		4991	10.5182	9140	2722.4	0.324107
			18	4317		4674	8.26963	8425	2919.91	0.428165		4674	8.26963	13099	4385.79	3.19883		4674	8.26963	8425	2919.91	0.604033
			19	4068		4392	7.9646	7741	2193.39	0.38385		4392	7.9646	12133	3971.21	3.12486		4392	7.9646	7741	2193.39	0.588139
			20	3882		4260	9.73725	9493	2646.24	0.425511		4260	9.73725	13753	4284.98	2.85075		4260	9.73725	9493	2646.24	0.248893
			21	3691		4153	12.5169	11506	3812.51	0.446139		4153	12.5169	15659	4824.38	2.92173		4153	12.5169	11506	3812.51	0.200675
			22	3691		3921	6.23137	10555	3031.81	0.235559		3990	8.10079	16063	4482.74	2.67524		3990	8.10079	12073	3613.9	0.481897

LUTZ2.IN2   	89	9	54		56	3.7037	19	9.32738	0.001331		56	3.7037	75	48.4252	0.051439		56	3.7037	19	9.32738	0.022828
			10	49		52	6.12245	35	19.5192	0.02603		52	6.12245	87	45.7275	0.028049		52	6.12245	35	19.5192	0.003456
			11	45		46	2.22222	21	9.43398	0.000978		46	2.22222	84	42.2374	0.053939		46	2.22222	21	9.43398	0.003697
			12	41		42	2.43902	19	8.77496	0.001032		42	2.43902	70	36.3593	0.021501		42	2.43902	19	8.77496	0.022923
			13	38		39	2.63158	22	8.48528	0.021537		39	2.63158	85	37.1618	0.042768		39	2.63158	22	8.48528	0.004287
			14	35		38	8.57143	47	16.2788	0.002008		38	8.57143	102	37.8682	0.02051		38	8.57143	47	16.2788	0.001694
			15	33		36	9.09091	55	19.6214	0.001857		36	9.09091	91	32.7567	0.038601		36	9.09091	55	19.6214	0.026593
			16	31		32	3.22581	27	10.5357	0.001143		32	3.22581	76	29.189	0.047339		32	3.22581	27	10.5357	0.00376
			17	29		31	6.89655	42	13.784	0.001471		31	6.89655	73	26.7395	0.041846		31	6.89655	42	13.784	0.001944
			18	28		30	7.14286	55	24.2281	0.001784		30	7.14286	85	28.0535	0.030737		30	7.14286	55	24.2281	0.002714
			19	26		28	7.69231	47	18.0831	0.001443		28	7.69231	92	28.5657	0.02907		28	7.69231	47	18.0831	0.002229
			20	25		27	8	55	16.1555	0.001458		27	8	91	27.074	0.036962		27	8	55	16.1555	0.001809
			21	24		26	8.33333	61	18.1384	0.001503		26	8.33333	87	24.7588	0.047968		26	8.33333	61	18.1384	0.003341
			22	23		25	8.69565	65	21.4709	0.001919		25	8.69565	120	30.7571	0.008516		25	8.69565	65	21.4709	0.002192
			23	22		25	13.6364	65	21.4709	0.002579		25	13.6364	124	29.7321	0.052098		24	9.09091	91	21.2838	0.003439
			24	21		22	4.7619	43	11.7047	0.0012		22	4.7619	82	22.1359	0.027937		22	4.7619	43	11.7047	0.002072
			25	20		22	10	43	11.7047	0.001547		22	10	87	21.9773	0.022063		22	10	43	11.7047	0.002067
			26	19		21	10.5263	61	18.303	0.00566		21	10.5263	91	22.7816	0.007195		21	10.5263	61	18.303	0.015945
			27	19		20	5.26316	55	15.1327	0.017288		20	5.26316	92	22.4944	0.006521		20	5.26316	55	15.1327	0.001934
			28	18		20	11.1111	55	15.1327	0.001605		20	11.1111	95	21.9773	0.022033		19	5.55556	66	17.9444	0.00154

LUTZ3.IN2   	89	3	548		550	0.364964	6	4.24264	0.000903		550	0.364964	556	532.216	0.493372		550	0.364964	6	4.24264	0.27035
			4	411		419	1.94647	32	23.4947	0.00291		419	1.94647	451	402.091	0.383498		419	1.94647	32	23.4947	0.111502
			5	329		341	3.64742	61	45.111	0.00479		341	3.64742	420	333.167	0.304447		341	3.64742	61	45.111	0.075461
			6	275		278	1.09091	24	11.8322	0.001712		278	1.09091	302	261.5	0.264472		278	1.09091	24	11.8322	0.053517
			7	236		242	2.54237	50	25.6125	0.004171		242	2.54237	322	224.624	0.209015		242	2.54237	50	25.6125	0.066088
			8	207		211	1.93237	44	26.9072	0.002335		211	1.93237	285	187.475	0.17977		211	1.93237	44	26.9072	0.054449
			9	184		189	2.71739	57	39.3065	0.002812		189	2.71739	264	180.826	0.195281		189	2.71739	57	39.3065	0.015564
			10	165		174	5.45455	96	48.1664	0.00376		174	5.45455	270	163.414	0.120697		174	5.45455	96	48.1664	0.039408
			11	151		160	5.96026	116	44.8107	0.041501		160	5.96026	276	150.226	0.129834		160	5.96026	116	44.8107	0.011769
			12	138		148	7.24638	132	68.7895	0.004422		148	7.24638	298	153.747	0.130995		148	7.24638	132	68.7895	0.054351
			13	128		137	7.03125	137	57.7841	0.004364		137	7.03125	274	131.833	0.173905		137	7.03125	137	57.7841	0.008946
			14	118		124	5.08475	92	34.0588	0.002796		124	5.08475	216	113.031	0.131934		124	5.08475	92	34.0588	0.014136
			15	110		119	8.18182	141	68.1249	0.004283		119	8.18182	260	114.079	0.113983		119	8.18182	141	68.1249	0.007943
			16	105		114	8.57143	180	65.0846	0.029999		114	8.57143	312	130.008	0.105519		114	8.57143	180	65.0846	0.004472
			17	98		108	10.2041	192	64.9923	0.017448		108	10.2041	318	119.088	0.104437		108	10.2041	192	64.9923	0.00796
			18	93		100	7.52688	156	56.4269	0.003614		100	7.52688	286	96.0104	0.087371		100	7.52688	156	56.4269	0.028759
			19	89		94	5.61798	142	44.4972	0.003643		94	5.61798	295	98.2293	0.098603		94	5.61798	142	44.4972	0.017689
			20	85		92	8.23529	196	68.5857	0.004119		92	8.23529	318	100.539	0.087304		92	8.23529	196	68.5857	0.003115
			21	80		91	13.75	267	81.6884	0.005558		91	13.75	388	111.418	0.059535		91	13.75	267	81.6884	0.003222
			22	76		86	13.1579	248	72.2219	0.004965		86	13.1579	334	99.3076	0.114589		86	13.1579	248	72.2219	0.003838
			23	74		81	9.45946	219	67.2533	0.003163		81	9.45946	330	97.4577	0.074089		81	9.45946	219	67.2533	0.004812

