-------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------

								Lower Bound					Upper Bound					Binary Search
						---------------------------------------------		---------------------------------------------		---------------------------------------------
Problem		n	m	c*		c	%dev	BD	SX	CPU(time)		c	%dev	BD	SX	CPU(time)		c	%dev	BD	SX	CPU(time)
			10	1775		1792	0.957747	3894	1815.26	0.005454		1792	0.957747	5686	2388.9	0.336269		1792	0.957747	3894	1815.26	0.024881

WARNECKE.IN2   	58	3	516		518	0.387597	6	5.09902	0.000552		518	0.387597	524	503.249	0.224349		518	0.387597	6	5.09902	0.097899
			4	387		394	1.80879	28	25.1794	0.001464		394	1.80879	422	379.721	0.145005		394	1.80879	28	25.1794	0.031983
			5	310		320	3.22581	52	36.4692	0.002649		320	3.22581	372	308.266	0.125664		320	3.22581	52	36.4692	0.027523
			6	258		263	1.93798	30	15.6844	0.001153		263	1.93798	293	248.928	0.124997		263	1.93798	30	15.6844	0.024416
			7	222		226	1.8018	34	17.4356	0.001228		226	1.8018	275	220.765	0.094371		226	1.8018	34	17.4356	0.022737
			8	194		201	3.60825	60	27.4226	0.001759		201	3.60825	261	188.608	0.063795		201	3.60825	60	27.4226	0.037888
			9	172		180	4.65116	72	30.8221	0.001879		180	4.65116	267	177.457	0.059044		180	4.65116	72	30.8221	0.018783
			10	155		165	6.45161	102	48.2079	0.003311		165	6.45161	267	158.079	0.069671		165	6.45161	102	48.2079	0.006786
			11	142		152	7.04225	124	53.9815	0.002869		152	7.04225	276	149.023	0.047479		152	7.04225	124	53.9815	0.005562
			12	130		140	7.69231	132	53.9259	0.00263		140	7.69231	294	121.285	0.050699		140	7.69231	132	53.9259	0.026809
			13	120		127	5.83333	103	37.2693	0.002022		127	5.83333	252	106.452	0.067057		127	5.83333	103	37.2693	0.00743
			14	111		119	7.20721	118	46.8402	0.002403		119	7.20721	259	93.803	0.069558		119	7.20721	118	46.8402	0.005516
			15	104		109	4.80769	87	32.6037	0.001689		109	4.80769	218	85.2408	0.052161		109	4.80769	87	32.6037	0.006154
			16	98		104	6.12245	116	53.7773	0.035184		104	6.12245	242	87.9432	0.057483		104	6.12245	116	53.7773	0.005259
			17	92		98	6.52174	118	46.3465	0.003088		98	6.52174	216	92.8655	0.039602		98	6.52174	118	46.3465	0.004589
			18	87		96	10.3448	180	87.5214	0.021586		96	10.3448	276	100.29	0.038593		96	10.3448	180	87.5214	0.003301
			19	84		92	9.52381	200	83.3067	0.003063		92	9.52381	292	99.94	0.048533		92	9.52381	200	83.3067	0.003175
			20	79		87	10.1266	192	80.7217	0.003062		87	10.1266	279	97.1545	0.050003		87	10.1266	192	80.7217	0.003427
			21	76		84	10.5263	216	80.697	0.016209		84	10.5263	315	101.158	0.028177		84	10.5263	216	80.697	0.00319
			22	73		81	10.9589	234	78.3454	0.003653		81	10.9589	330	104.058	0.014949		81	10.9589	234	78.3454	0.028249
			23	69		78	13.0435	246	84.1784	0.003307		78	13.0435	339	107.047	0.034822		78	13.0435	246	84.1784	0.004612
			24	66		77	16.6667	300	94.4987	0.00388		77	16.6667	399	105.105	0.01412		77	16.6667	300	94.4987	0.001985
			25	64		71	10.9375	227	67.2681	0.003135		71	10.9375	320	82.9096	0.10147		71	10.9375	227	67.2681	0.002986
			26	64		69	7.8125	246	70.6399	0.003141		69	7.8125	337	80.5047	0.040009		69	7.8125	246	70.6399	0.002461
			27	60		67	11.6667	261	68.6513	0.015227		67	11.6667	350	85.2174	0.031429		67	11.6667	261	68.6513	0.002008
			28	59		66	11.8644	300	78.1409	0.003485		66	11.8644	366	92.2497	0.012058		66	11.8644	300	78.1409	0.002018
			29	56		65	16.0714	337	88.3572	0.003718		65	16.0714	402	94.0425	0.03386		64	14.2857	372	89.8332	0.001708

TONGE70.IN2   	70	3	1170		1172	0.17094	6	4.47214	0.005743		1172	0.17094	1178	1145.33	0.688191		1172	0.17094	6	4.47214	0.365801
			4	878		883	0.569476	22	14.3527	0.001945		883	0.569476	905	856.378	0.558281		883	0.569476	22	14.3527	0.115761
			5	702		708	0.854701	30	15.8745	0.046973		708	0.854701	738	681.625	0.410561		708	0.854701	30	15.8745	0.101939
			6	585		589	0.683761	24	12.5698	0.001449		589	0.683761	613	562.604	0.400431		589	0.683761	24	12.5698	0.107377
			7	502		507	0.996016	39	18.412	0.002224		507	0.996016	546	481.028	0.317976		507	0.996016	39	18.412	0.074916
			8	439		449	2.2779	82	34.641	0.003569		449	2.2779	531	432.799	0.341359		449	2.2779	82	34.641	0.066967
			9	391		395	1.02302	45	19.3132	0.001779		395	1.02302	440	327.035	0.311009		395	1.02302	45	19.3132	0.069214
			10	352		369	4.82955	180	112.125	0.005824		369	4.82955	608	362.356	0.275057		369	4.82955	180	112.125	0.056939
			11	320		328	2.5	98	39.1408	0.003181		328	2.5	444	306.76	0.255708		328	2.5	98	39.1408	0.046732
			12	294		302	2.72109	114	48.1041	0.034326		302	2.72109	416	287.781	0.229293		302	2.72109	114	48.1041	0.06155
			13	271		283	4.42804	169	62.2656	0.004833		283	4.42804	524	278.984	0.209219		283	4.42804	169	62.2656	0.008679
			14	251		265	5.57769	200	66.4981	0.01475		265	5.57769	465	211.96	0.188428		265	5.57769	200	66.4981	0.049192
			15	235		244	3.82979	150	53.3479	0.004317		244	3.82979	481	184.242	0.153676		244	3.82979	150	53.3479	0.032992
			16	221		243	9.95475	378	159.468	0.011532		243	9.95475	621	276.368	0.155596		243	9.95475	378	159.468	0.002872
			17	208		223	7.21154	281	198.94	0.007147		223	7.21154	591	215.112	0.145765		223	7.21154	281	198.94	0.015445
			18	196		223	13.7755	281	198.94	0.038398		223	13.7755	727	283.952	0.127145		223	13.7755	281	198.94	0.002584
			19	186		202	8.60215	328	135.241	0.036179		202	8.60215	620	229.351	0.124141		202	8.60215	328	135.241	0.024785
			20	177		193	9.03955	350	109.627	0.009274		193	9.03955	587	216.756	0.130411		193	9.03955	350	109.627	0.022713
			21	170		189	11.1765	459	151.079	0.014725		189	11.1765	707	243.526	0.112956		189	11.1765	459	151.079	0.004863
			22	162		183	12.963	516	168.048	0.02271		183	12.963	758	241.267	0.107779		183	12.963	516	168.048	0.010349
			23	156		167	7.05128	331	118.773	0.016796		167	7.05128	557	212.746	0.103605		167	7.05128	331	118.773	0.036314
			24	156		162	3.84615	378	121.153	0.002701		162	3.84615	599	214.058	0.126755		162	3.84615	378	121.153	0.005685
			25	156		156	0	390	120.441	0.000354		154	-1.28205	494	144.651	0.110676		156	0	390	120.441	0.003986

WEE-MAG.IN2   	75	3	500		508	1.6	25	19.3132	0.003524		508	1.6	533	483.931	0.30661		508	1.6	25	19.3132	0.116483
			4	375		383	2.13333	33	21.4709	0.003145		383	2.13333	416	359.489	0.242828		383	2.13333	33	21.4709	0.049137
			5	300		305	1.66667	26	14.8997	0.003362		305	1.66667	331	281.103	0.173455		305	1.66667	26	14.8997	0.040397
			6	250		256	2.4	37	20.7123	0.003605		256	2.4	293	232.802	0.188766		256	2.4	37	20.7123	0.036629
			7	215		219	1.86047	34	19.0263	0.001877		219	1.86047	278	211.613	0.145697		219	1.86047	34	19.0263	0.02521
