-------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------

								Lower Bound					Upper Bound					Binary Search
						---------------------------------------------		---------------------------------------------		---------------------------------------------
Problem		n	m	c*		c	%dev	BD	SX	CPU(time)		c	%dev	BD	SX	CPU(time)		c	%dev	BD	SX	CPU(time)
WARNECKE.IN2   	58	3	516		521	0.968992	15	11.1803	0.001191		521	0.968992	536	506.314	0.166304		521	0.968992	15	11.1803	0.090147
			4	387		393	1.55039	24	15.5563	0.001737		393	1.55039	417	343.702	0.139959		393	1.55039	24	15.5563	0.057264
			5	310		317	2.25806	37	31.225	0.012767		317	2.25806	354	303.944	0.090648		317	2.25806	37	31.225	0.020701
			6	258		264	2.32558	36	19.3391	0.00624		264	2.32558	300	250.136	0.094184		264	2.32558	36	19.3391	0.021164
			7	222		225	1.35135	27	13.8924	0.011572		225	1.35135	252	210.874	0.066409		225	1.35135	27	13.8924	0.026495
			8	194		199	2.57732	44	19.2873	0.002201		199	2.57732	243	154.832	0.122332		199	2.57732	44	19.2873	0.016414
			9	172		179	4.06977	63	32.8786	0.002169		179	4.06977	242	134.536	0.071251		179	4.06977	63	32.8786	0.017291
			10	155		163	5.16129	82	36.9594	0.002228		163	5.16129	245	152.902	0.072332		163	5.16129	82	36.9594	0.007739
			11	142		146	2.8169	58	21.3073	0.001586		146	2.8169	204	133.566	0.083432		146	2.8169	58	21.3073	0.014146
			12	130		137	5.38462	96	36.4966	0.002238		137	5.38462	233	128.464	0.06343		137	5.38462	96	36.4966	0.013502
			13	120		128	6.66667	116	41.7612	0.002497		128	6.66667	244	93.9574	0.062692		128	6.66667	116	41.7612	0.00702
			14	111		118	6.30631	104	54.2033	0.002799		118	6.30631	222	88.8594	0.039955		118	6.30631	104	54.2033	0.011178
			15	104		114	9.61539	162	67.838	0.003621		114	9.61539	276	113.737	0.064898		114	9.61539	162	67.838	0.003099
			16	98		104	6.12245	116	37.6298	0.011822		104	6.12245	220	72.0555	0.028251		104	6.12245	116	37.6298	0.004694
			17	92		95	3.26087	67	20.025	0.021298		99	7.6087	234	100.558	0.054776		99	7.6087	135	54.9818	0.005327
			18	87		94	8.04598	144	51.7107	0.014567		94	8.04598	238	77.4468	0.040238		94	8.04598	144	51.7107	0.002375
			19	84		87	3.57143	105	38.3014	0.002008		87	3.57143	192	80.075	0.033969		87	3.57143	105	38.3014	0.004765
			20	79		85	7.59494	152	42.19	0.0024		85	7.59494	237	82.4075	0.054289		85	7.59494	152	42.19	0.003117
			21	76		80	5.26316	132	40.1746	0.002171		80	5.26316	279	96.3483	0.069956		80	5.26316	132	40.1746	0.003976
			22	73		78	6.84932	168	56.8331	0.00244		78	6.84932	246	82.4257	0.01974		78	6.84932	168	56.8331	0.027923
			23	69		77	11.5942	223	79.5299	0.003599		77	11.5942	300	78.0769	0.068477		77	11.5942	223	79.5299	0.010899
			24	66		75	13.6364	252	70.1427	0.023673		75	13.6364	327	77.3111	0.038336		75	13.6364	252	70.1427	0.002395
			25	64		72	12.5	252	63.7966	0.00354		72	12.5	324	80.3368	0.044655		72	12.5	252	63.7966	0.002336
			26	64		70	9.375	272	71.9305	0.010562		70	9.375	357	85.5395	0.03878		70	9.375	272	71.9305	0.002237
			27	60		67	11.6667	261	65.9621	0.007016		67	11.6667	328	85.3229	0.029333		67	11.6667	261	65.9621	0.002029
			28	59		66	11.8644	300	81.5598	0.003582		66	11.8644	366	91.3126	0.034584		66	11.8644	300	81.5598	0.005373
			29	56		61	8.92857	221	60.7536	0.002948		61	8.92857	297	67.624	0.016484		61	8.92857	221	60.7536	0.025211

TONGE70.IN2   	70	3	1170		1173	0.25641	9	7.28011	0.001155		1173	0.25641	1182	1146.21	0.622956		1173	0.25641	9	7.28011	0.338982
			4	878		889	1.25285	46	28.3901	0.004141		889	1.25285	935	862.848	0.475681		889	1.25285	46	28.3901	0.13867
			5	702		705	0.42735	15	10.6301	0.001149		705	0.42735	720	678.351	0.398309		705	0.42735	15	10.6301	0.128009
			6	585		592	1.19658	42	24.2074	0.002363		592	1.19658	634	565.924	0.444526		592	1.19658	42	24.2074	0.114333
			7	502		512	1.99203	74	37.9473	0.04784		512	1.99203	586	486.87	0.331393		512	1.99203	74	37.9473	0.066216
			8	439		447	1.82232	66	30.0666	0.003045		447	1.82232	513	421.591	0.256495		447	1.82232	66	30.0666	0.074062
			9	391		398	1.79028	72	30.2655	0.003223		398	1.79028	470	372.781	0.244244		398	1.79028	72	30.2655	0.054296
			10	352		362	2.84091	110	55.0273	0.003743		362	2.84091	472	297.59	0.208568		362	2.84091	110	55.0273	0.056559
			11	320		329	2.8125	109	40.5093	0.004536		329	2.8125	438	270.422	0.191095		329	2.8125	109	40.5093	0.037529
			12	294		300	2.04082	90	31.0161	0.003017		300	2.04082	390	238.399	0.184162		300	2.04082	90	31.0161	0.052217
			13	271		282	4.05904	156	67.0671	0.004364		282	4.05904	438	228.075	0.174769		282	4.05904	156	67.0671	0.016291
			14	251		266	5.9761	214	76.1971	0.011759		266	5.9761	480	216.435	0.150076		266	5.9761	214	76.1971	0.036168
			15	235		244	3.82979	150	59.0085	0.015208		244	3.82979	394	186.156	0.132797		244	3.82979	150	59.0085	0.037798
			16	221		228	3.16742	138	50.8527	0.014043		228	3.16742	366	206.862	0.113465		228	3.16742	138	50.8527	0.017904
			17	208		220	5.76923	230	95.5615	0.00544		220	5.76923	450	178.544	0.122186		220	5.76923	230	95.5615	0.006181
