-------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------

								Lower Bound					Upper Bound					Binary Search
						---------------------------------------------		---------------------------------------------		---------------------------------------------
Problem		n	m	c*		c	%dev	BD	SX	CPU(time)		c	%dev	BD	SX	CPU(time)		c	%dev	BD	SX	CPU(time)
			10	1775		1792	0.957747	3894	1684.4	0.005224		1792	0.957747	5686	2206.91	0.329102		1792	0.957747	3894	1684.4	0.009215

WARNECKE.IN2   	58	3	516		533	3.29457	51	40.1622	0.014694		533	3.29457	584	519.771	0.176836		533	3.29457	51	40.1622	0.066388
			4	387		401	3.61757	56	39.0896	0.002623		401	3.61757	457	388.264	0.11475		401	3.61757	56	39.0896	0.033267
			5	310		325	4.83871	77	47.7179	0.006549		325	4.83871	402	314.277	0.102266		325	4.83871	77	47.7179	0.037201
			6	258		269	4.26357	66	42.0951	0.002092		269	4.26357	335	257.901	0.071762		269	4.26357	66	42.0951	0.019858
			7	222		230	3.6036	62	33.4365	0.001919		230	3.6036	292	217.697	0.081813		230	3.6036	62	33.4365	0.021241
			8	194		204	5.15464	84	38.4708	0.002219		204	5.15464	303	205.341	0.064988		204	5.15464	84	38.4708	0.007546
			9	172		182	5.81395	90	40.6448	0.002015		182	5.81395	287	181.419	0.054005		182	5.81395	90	40.6448	0.019565
			10	155		167	7.74194	122	71.1477	0.002627		167	7.74194	355	159.019	0.064551		167	7.74194	122	71.1477	0.005699
			11	142		152	7.04225	124	51.4587	0.002708		152	7.04225	276	150.798	0.056172		152	7.04225	124	51.4587	0.006111
			12	130		145	11.5385	192	89.9778	0.003673		145	11.5385	352	159.862	0.048875		145	11.5385	192	89.9778	0.00222
			13	120		129	7.5	129	46.2925	0.002225		129	7.5	324	127.695	0.042662		129	7.5	129	46.2925	0.004897
			14	111		119	7.20721	118	45.8912	0.004158		119	7.20721	259	100.394	0.063195		119	7.20721	118	45.8912	0.017927
			15	104		114	9.61539	162	55.7853	0.00249		114	9.61539	298	104.862	0.047424		114	9.61539	162	55.7853	0.002591
			16	98		109	11.2245	196	75.4586	0.002952		109	11.2245	327	109.366	0.028603		109	11.2245	196	75.4586	0.003407
			17	92		102	10.8696	186	62.0484	0.015973		102	10.8696	310	101.568	0.029376		102	10.8696	186	62.0484	0.010641
			18	87		97	11.4943	198	64.8383	0.002619		97	11.4943	295	101.799	0.082298		97	11.4943	198	64.8383	0.002894
			19	84		94	11.9048	238	93.6162	0.007006		94	11.9048	347	118.097	0.026241		94	11.9048	238	93.6162	0.002234
			20	79		91	15.1899	272	95.4777	0.003537		91	15.1899	363	112.637	0.03493		91	15.1899	272	95.4777	0.005664
			21	76		86	13.1579	258	91.3345	0.003361		86	13.1579	344	109.964	0.025528		86	13.1579	258	91.3345	0.003253
